price,lotSize,age,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms
125000,0.34,32,1404,52,3,0,2.0,5
88000,0.19,15,1480,52,3,1,1.5,5
135000,0.23,135,1344,52,3,0,1.0,5
90000,0.07,14,1480,52,2,1,2.5,5
90100,0.09,15,1480,52,3,1,1.5,7
126900,0.25,10,1596,52,3,0,2.5,6
175000,0.47,15,1768,52,3,1,2.0,5
158000,0.36,10,1348,52,2,1,2.0,3
92000,0.07,14,1480,52,3,1,1.5,8
82800,0.11,225,1483,52,3,0,1.0,7
140000,0.23,25,1576,52,4,1,1.5,5
171000,3.16,15,1008,52,2,0,1.0,7
200640,0.08,0,2332,52,4,0,2.5,9
139000,0.57,30,1064,52,3,1,1.0,5
225000,0.5,12,2428,52,4,1,2.5,11
182000,1.0,16,1310,52,3,1,2.0,7
208767,0.5,0,1662,52,3,0,2.0,7
186000,0.55,0,2000,52,4,0,2.5,7
93000,0.1,14,1480,52,3,1,1.5,6
257386,0.5,0,2969,52,4,1,4.0,10
161000,0.31,10,1542,52,3,0,2.5,5
92000,0.28,18,1527,52,4,0,2.0,7
211002,0.06,0,2195,52,4,0,2.5,8
115000,0.06,14,1480,52,3,1,1.5,6
113000,0.46,53,1452,52,3,0,2.0,7
216300,0.1,0,2360,52,4,0,2.5,10
145000,2.12,32,1440,52,3,1,1.0,8
114000,0.06,14,1480,52,2,1,2.5,5
139050,0.21,125,1879,52,3,0,2.5,6
104000,0.06,14,1480,52,3,0,1.5,6
169900,0.26,11,1792,52,3,0,2.5,8
177900,0.29,2,1386,44,3,0,2.5,5
133000,1.29,14,1676,44,2,1,2.0,3
185000,1.0,0,768,22,4,0,2.0,9
115000,0.88,16,1560,22,3,1,1.5,8
100000,0.52,91,1000,22,3,0,1.0,6
117000,0.07,15,1676,51,4,1,1.5,9
150000,0.32,11,1656,51,3,0,1.5,6
187500,0.92,11,2300,51,3,1,1.5,7
107000,0.46,25,1712,51,3,1,1.0,6
126900,0.46,26,1350,51,3,0,1.5,5
147000,0.11,15,1676,51,3,1,2.5,6
62000,0.4,103,1317,51,3,0,1.5,7
101000,0.87,30,1056,51,3,1,2.0,8
143500,0.59,13,912,51,3,0,1.0,7
113400,0.93,18,1232,44,2,0,2.0,3
76320,0.15,68,1380,44,3,1,1.0,5
110000,0.59,10,936,44,3,0,1.0,6
88000,0.33,49,720,44,3,0,1.0,4
108000,0.32,30,1628,44,2,1,1.5,4
114900,0.46,41,1144,44,3,0,1.5,6
146000,0.48,2,1827,44,3,0,2.5,9
225000,2.37,8,1784,44,3,1,2.0,6
138000,0.83,16,1851,44,3,1,2.5,8
218070,1.0,0,2194,44,4,0,2.5,8
25000,0.21,75,920,44,2,0,1.0,6
112000,0.27,36,1280,44,3,0,1.0,5
112500,0.72,43,1232,44,3,1,1.0,5
97000,0.36,45,1406,44,3,0,1.5,6
121000,0.52,6,1164,44,3,0,2.0,5
65720,0.19,123,1198,44,3,0,1.0,5
225000,0.38,10,2206,44,4,1,2.5,8
192000,0.82,0,1880,44,3,1,2.5,9
158500,0.69,6,1368,44,3,0,1.5,8
247000,0.51,16,1901,44,3,1,2.5,5
193777,0.72,11,1547,44,3,0,2.0,8
136500,0.62,12,896,44,3,0,2.0,5
75000,1.0,45,1008,44,3,0,1.0,7
45000,0.52,75,912,44,2,0,1.0,4
243000,0.82,12,2443,44,3,0,2.5,6
90000,0.29,83,900,44,4,0,1.0,7
158000,0.52,0,2098,44,3,0,2.0,7
174000,0.64,9,2115,44,4,1,2.5,7
150000,0.52,12,1344,44,2,1,2.0,7
159650,1.0,3,1106,44,3,0,1.0,8
139062,0.69,33,1440,44,3,2,2.0,6
84950,0.13,0,840,51,2,0,1.0,3
102000,0.22,10,1170,51,2,0,1.0,6
175000,0.46,15,1664,51,4,0,1.0,5
78500,1.0,153,3024,51,4,0,1.0,12
232478,1.0,0,2598,51,4,1,2.5,9
93805,0.13,0,840,51,2,0,1.5,7
119900,1.03,63,1701,41,5,0,1.0,10
146000,1.17,33,1456,41,3,1,1.5,6
125000,0.34,44,1224,71,3,0,1.0,4
135000,0.38,48,1411,71,3,1,1.0,5
157500,1.96,29,1608,71,3,1,1.5,5
135000,3.0,178,3020,41,4,0,2.5,12
142900,0.33,32,1898,64,3,1,1.5,7
259900,0.46,1,2544,64,4,1,2.5,9
85000,0.29,16,1038,64,2,0,1.0,7
180377,0.35,1,1820,64,3,1,2.5,6
163500,0.28,21,2202,64,3,1,2.0,10
106500,0.52,53,2387,64,3,0,1.0,6
115000,0.11,16,1368,64,2,1,1.5,3
115000,0.14,16,1480,64,2,1,2.0,5
135000,0.14,15,1348,64,2,1,1.5,5
198900,0.47,7,1889,64,4,1,2.5,8
139000,0.14,16,1343,64,2,1,1.5,6
206000,0.51,15,2011,64,3,1,2.5,7
120000,0.21,15,1180,64,2,1,1.5,3
205980,0.14,1,1983,64,3,1,2.5,5
275000,0.55,14,2253,64,3,1,2.5,7
139000,0.07,12,1604,64,2,0,1.5,4
89900,0.49,83,1196,45,3,0,1.0,6
139900,0.07,13,1602,64,2,0,2.5,7
172750,0.36,1,1747,64,3,0,2.5,5
136000,0.5,37,1092,64,3,0,1.0,5
270000,0.48,10,2410,64,4,1,2.5,11
174000,0.29,14,1933,64,3,1,2.5,6
379000,0.68,9,3080,64,4,1,2.5,12
382500,4.08,13,4534,64,6,2,2.5,12
144900,0.1,14,1677,64,3,1,2.5,5
349900,0.62,7,2900,64,4,1,2.5,11
133000,0.07,16,1392,64,2,1,1.5,5
115000,0.16,15,1058,64,2,1,1.5,7
211950,0.36,1,2342,64,4,1,2.5,8
227812,0.01,0,2206,64,4,1,2.5,10
164400,0.34,1,1516,64,3,1,2.0,5
340000,0.75,12,2836,64,4,1,2.5,10
139900,0.29,15,1256,64,2,0,1.5,7
279900,0.47,6,2340,64,4,1,3.5,10
225000,0.32,0,2129,64,4,1,2.5,9
144500,0.12,15,1343,64,2,1,2.5,4
362710,1.0,0,2963,64,4,1,2.5,10
247000,0.46,13,2114,64,4,1,3.5,8
120000,0.18,16,1144,64,2,1,1.0,7
136000,0.55,33,988,64,3,1,1.0,7
228500,0.46,9,1475,64,3,0,2.0,4
162800,0.15,10,1247,64,3,0,1.5,7
230000,0.93,48,1912,64,5,1,2.0,10
115800,0.46,23,1440,64,3,0,1.5,5
175000,0.26,16,1596,64,3,1,2.0,6
263008,0.63,0,2665,64,4,1,2.5,11
146000,0.5,35,1984,64,3,0,1.5,8
204900,0.03,10,1616,64,3,0,2.0,6
265000,0.17,9,1917,64,3,1,2.5,5
167500,0.64,37,2592,64,3,1,1.5,9
205000,0.47,6,1845,64,3,1,2.5,9
170000,0.92,53,1360,57,4,0,1.0,9
176000,0.41,35,1664,64,3,1,1.5,6
132000,0.16,15,1098,64,2,1,1.5,3
115500,0.01,17,1214,64,2,0,1.5,4
150000,0.29,93,1046,57,3,0,1.0,6
120000,0.36,103,1144,64,3,0,1.0,8
125000,0.28,16,1140,64,2,1,2.0,6
150000,0.15,14,1232,64,2,1,1.5,5
362360,0.59,0,3020,64,4,1,2.5,9
133500,0.36,19,1508,52,3,1,2.0,6
91000,0.16,19,912,52,2,1,1.5,5
104000,0.34,18,1508,52,3,0,1.5,4
148000,0.33,17,1561,52,3,1,1.5,6
182000,0.56,30,2625,64,4,1,2.5,8
152500,0.48,30,936,52,3,1,1.0,7
97000,0.16,19,912,52,2,0,1.5,3
113000,0.17,16,1492,52,3,0,2.5,8
172000,0.46,30,1599,64,4,1,2.5,5
179900,0.81,25,2304,52,5,1,2.5,9
84000,0.15,19,912,52,2,0,1.5,7
117900,0.15,17,1385,52,2,1,1.5,7
177000,0.32,17,1561,52,4,0,1.5,8
107500,0.16,20,884,52,2,0,2.0,3
92500,0.15,18,912,52,2,0,2.0,4
102900,0.15,17,912,52,2,0,1.5,3
134800,0.48,73,1384,52,3,0,2.0,5
150000,0.77,7,1334,52,3,0,1.5,4
165000,0.42,10,1433,64,3,1,2.0,5
120000,0.17,16,1492,52,3,1,2.5,6
177500,0.32,16,1561,52,4,1,1.5,9
300000,0.09,11,936,52,1,0,1.0,3
123500,0.16,16,1492,52,3,1,2.5,8
141000,0.16,18,1853,52,3,0,2.5,7
105400,0.15,15,1240,52,2,0,1.5,7
100600,0.17,19,912,52,2,0,1.5,6
108900,0.17,19,912,52,2,0,1.5,3
105500,0.16,19,912,52,2,0,1.5,6
109900,0.16,19,1184,52,3,0,1.5,8
172700,0.34,18,1638,52,3,1,2.0,6
166500,0.31,16,1508,52,3,1,2.0,6
105000,0.4,50,672,52,2,0,1.0,5
490000,0.34,18,1346,52,3,1,2.0,6
120000,0.16,18,1184,52,3,0,2.0,5
107500,0.15,16,912,52,2,0,1.5,4
116600,0.15,18,912,52,2,1,1.5,5
65000,0.16,19,988,52,2,0,2.0,4
118000,0.16,19,1184,52,3,0,2.0,6
115900,0.15,16,1385,52,2,0,1.5,4
100000,0.15,18,912,52,2,0,1.5,3
171000,0.37,18,1548,52,3,1,2.0,5
188000,0.31,17,1561,52,4,0,1.5,9
140000,1.0,24,1008,52,2,0,1.0,3
124500,0.15,17,1385,52,2,0,1.5,4
107200,0.16,19,908,52,2,0,1.0,6
107500,0.24,138,2246,39,4,0,1.5,9
180000,2.06,16,1820,39,3,1,2.5,5
214325,0.42,0,2554,64,4,1,2.5,9
128850,0.92,16,824,45,3,0,1.5,5
208700,0.4,0,2458,64,4,1,2.5,9
139900,0.36,22,1324,64,3,0,1.0,4
350000,5.84,12,2916,64,3,1,2.5,9
108000,0.16,19,1032,52,2,0,1.5,4
115500,0.15,16,912,52,2,1,1.5,4
135000,0.98,35,1320,52,2,0,1.0,3
135000,0.33,17,1508,52,3,1,1.5,8
107400,0.16,16,912,52,2,1,1.5,7
233000,0.09,12,2040,52,4,1,2.5,7
105000,0.16,17,912,52,2,1,1.5,5
335000,3.0,10,1776,52,2,0,2.0,6
139000,0.58,25,1304,64,3,0,2.0,8
209500,0.42,10,1836,64,4,1,2.5,8
101000,0.17,18,912,52,2,0,2.0,3
77500,0.16,19,912,52,2,0,1.5,6
150500,0.31,16,1527,52,2,1,2.0,7
167000,0.99,17,1454,39,3,0,1.5,7
114000,0.26,26,1700,39,3,1,1.5,4
160000,0.45,27,1680,45,4,0,1.0,9
85000,0.49,0,2401,64,4,1,2.5,10
143000,0.35,21,1176,64,3,0,1.0,7
126000,0.4,24,1344,64,3,1,1.5,7
140000,0.48,23,1344,64,3,0,1.5,8
140000,0.35,9,1714,64,3,0,2.5,8
205000,0.25,20,1992,64,4,1,3.0,9
79900,0.12,19,924,64,2,0,1.0,7
139000,0.09,24,1290,64,2,1,1.5,3
190000,0.46,36,2521,64,4,1,2.5,10
151500,0.71,58,1377,82,3,1,1.5,7
97500,0.06,19,1237,64,2,1,1.5,6
194500,0.61,41,2310,64,4,1,2.5,7
195160,0.32,0,1863,64,3,1,2.5,9
152500,0.37,26,1693,64,3,1,1.5,8
159500,0.29,26,1684,64,3,1,2.5,4
185000,0.95,16,1585,64,3,1,1.5,4
240000,0.67,8,2290,64,4,1,3.0,9
187900,0.4,32,2464,64,5,1,2.5,9
262000,0.29,5,2549,64,4,1,2.5,12
212500,0.35,6,2316,64,4,1,2.5,7
220000,0.37,18,2600,64,4,1,2.5,8
245000,0.53,15,2677,64,4,1,2.5,10
120000,0.06,19,1479,64,3,0,1.5,4
102500,0.15,16,1138,64,2,0,1.0,7
136000,0.27,24,1576,64,3,0,2.5,4
212500,0.43,10,2084,82,4,1,2.5,9
205900,0.06,26,1726,64,3,1,2.0,8
259900,1.0,2,1851,71,2,2,2.0,4
191500,0.46,30,2310,64,5,1,2.5,12
272500,0.03,0,2930,64,4,1,2.5,12
191500,0.88,33,2576,64,4,1,2.5,10
158000,0.55,36,1664,64,3,1,2.0,8
195000,1.0,24,1237,64,2,0,1.5,3
187500,0.43,29,2662,64,5,1,2.5,9
160000,0.45,35,1575,64,3,1,1.5,7
137500,0.1,12,1566,64,2,0,1.5,7
109900,0.09,16,1326,64,2,1,1.5,4
85000,0.09,18,1480,64,3,0,1.5,8
184350,0.59,0,2161,64,4,1,2.5,11
134500,0.16,10,1352,64,2,1,1.5,3
154900,0.51,33,1648,64,3,0,1.5,8
255000,0.46,25,2936,64,3,1,3.5,12
238600,0.46,1,2404,64,4,1,2.5,10
106000,0.42,36,1738,64,3,0,1.5,9
625000,0.45,14,5228,64,4,4,4.0,12
195000,0.55,34,2576,64,4,1,2.5,12
168500,0.44,34,1586,64,3,1,1.5,7
87000,0.06,19,1480,64,3,0,1.5,5
215000,0.5,15,1917,64,4,1,2.5,7
197500,0.3,30,1938,64,3,1,1.5,9
215000,0.33,3,2110,64,4,1,2.5,8
118000,0.14,19,1479,64,3,0,1.5,5
187900,0.69,34,2576,64,5,1,2.5,9
275000,0.38,18,2445,82,4,2,2.5,9
249900,0.74,14,2185,64,3,1,2.5,7
270000,0.38,18,2078,64,4,1,2.5,8
157900,0.38,37,1674,64,3,1,1.5,5
120000,0.29,19,1228,64,4,0,1.5,9
126400,0.28,22,1375,64,2,1,1.5,7
220000,0.54,16,1650,64,3,1,2.0,5
180000,0.26,31,1718,64,3,1,1.5,9
203600,0.59,33,2576,64,4,1,2.5,9
249900,0.37,4,2280,64,4,1,2.5,7
193000,0.4,18,2088,64,4,1,2.5,10
215000,0.5,15,1917,64,4,1,2.5,9
201000,0.54,29,3140,64,5,1,3.5,10
65000,0.22,73,1029,82,3,0,1.0,4
195000,0.35,36,1896,64,4,1,2.5,7
215900,0.52,38,2310,64,5,1,2.5,9
92000,0.31,17,924,64,2,1,1.0,6
155000,0.38,25,2080,64,3,1,2.5,9
123500,0.08,22,1237,64,3,1,1.5,4
110400,0.1,29,1287,64,3,0,1.5,5
198900,0.44,18,1847,64,3,1,2.5,7
150000,0.26,49,1064,64,3,0,1.0,8
104000,0.07,18,1480,64,3,1,1.5,4
245000,0.48,23,2462,64,5,2,3.5,8
180000,0.41,17,2228,64,3,1,2.5,7
154300,0.42,61,1260,82,3,0,1.0,8
170000,0.45,30,1559,64,4,1,2.5,5
219000,0.6,25,1980,64,4,1,2.5,10
295000,0.95,9,2380,82,3,1,2.5,6
181500,0.56,27,1887,64,4,1,2.5,8
260000,1.25,133,2185,64,4,1,1.5,11
239900,0.7,15,2488,64,4,1,2.5,7
135500,0.67,56,1152,64,1,0,2.0,3
191500,0.66,15,2025,64,4,1,2.5,9
225000,0.62,37,2521,64,5,1,2.5,12
98500,0.08,18,1480,64,3,0,1.5,4
110500,0.08,17,1480,64,3,1,1.5,5
290000,0.51,7,2362,64,4,1,2.5,8
184400,0.28,31,1910,64,3,1,1.5,7
178500,1.0,12,1952,71,3,2,2.0,9
415000,0.58,9,3358,64,4,1,3.5,12
244900,0.43,26,2090,64,4,1,2.5,7
150000,0.55,35,1965,64,5,1,2.0,11
168000,0.49,33,2110,64,4,1,1.5,9
159000,0.39,43,1456,64,4,0,2.5,9
127000,0.06,18,1479,64,3,0,1.5,7
175000,0.46,29,1874,64,4,1,2.5,7
255250,0.5,0,2099,64,4,1,2.5,8
175000,0.6,33,1872,64,3,1,2.5,8
235000,0.41,17,2388,64,4,1,2.5,11
324000,0.53,18,2812,64,4,1,2.5,12
173000,0.21,11,1064,64,2,1,2.0,4
116900,0.06,20,1375,64,2,0,1.5,7
105900,0.09,19,1480,64,3,0,1.5,5
112000,0.13,25,1260,64,2,1,1.5,5
235000,0.72,15,2086,64,3,1,2.5,5
235000,1.0,9,2588,64,4,1,2.5,12
130000,0.18,18,1480,64,3,0,1.5,4
235000,0.74,10,1752,64,3,1,2.5,7
191900,0.48,32,2660,64,4,1,2.5,11
284900,0.58,20,2417,64,3,1,2.5,9
335000,0.01,21,2793,64,3,1,2.5,7
140000,1.0,78,1152,64,2,0,1.0,6
191000,0.41,29,2344,64,4,1,2.5,9
153000,0.51,33,1926,64,4,1,1.5,6
196000,0.55,35,2208,64,4,1,2.5,9
248000,0.46,16,2208,64,3,1,2.5,7
240000,0.6,35,2708,64,5,2,2.5,12
132000,0.19,18,1142,64,3,0,1.5,6
199000,1.42,32,2529,64,3,1,2.0,7
217000,0.69,20,1797,64,4,0,2.0,9
167000,0.51,31,1611,64,3,1,1.5,4
245000,0.29,13,2576,64,4,1,2.5,10
358000,0.06,10,2653,82,4,0,2.5,10
412500,0.6,13,3896,64,5,2,4.5,12
208000,0.53,16,1585,64,3,1,1.0,6
270000,0.38,10,2774,64,4,1,2.5,8
100000,0.74,54,1283,64,2,1,1.0,3
130000,0.56,29,1136,64,3,0,1.0,6
182500,0.71,32,1896,64,4,1,2.5,6
139000,2.84,55,1536,64,2,1,1.0,7
104000,0.09,19,1480,64,3,1,1.5,5
221000,0.52,14,2096,64,4,1,2.5,8
260000,1.0,8,2324,64,4,0,2.5,7
182500,0.5,29,2079,64,4,1,2.5,7
196000,0.43,33,1911,64,4,1,1.5,10
132000,0.09,18,1480,64,3,1,1.5,7
224900,0.11,25,2208,64,4,1,2.5,10
199900,0.24,9,1462,64,3,0,2.5,7
165835,0.39,38,1794,64,4,1,1.5,10
189000,0.8,38,1886,64,4,1,2.5,9
89900,0.19,19,1080,64,3,0,1.5,7
235000,0.59,34,2576,64,5,1,3.0,11
166000,0.48,26,1508,64,4,1,1.5,5
153100,0.46,35,1672,64,4,1,1.0,5
162000,0.4,35,1739,64,4,1,1.5,9
224000,0.52,40,3074,64,7,1,2.5,12
222400,0.86,3,1976,64,3,1,2.5,8
199000,0.46,37,2302,64,4,1,2.5,8
166000,0.95,13,1480,51,3,1,2.0,4
149900,0.63,11,960,54,2,0,2.0,5
152000,0.42,16,1582,36,3,0,1.5,8
162500,0.34,154,1600,54,4,0,1.0,7
274900,0.5,5,2320,54,4,0,2.5,9
100000,0.2,14,1034,54,2,0,1.5,5
215000,2.96,19,1488,57,3,0,1.5,8
124000,1.0,17,1056,57,3,0,1.0,8
125000,1.0,128,864,57,3,0,1.0,6
138000,1.0,19,1552,57,3,1,2.0,4
225000,0.52,11,1816,57,3,1,1.5,6
180000,0.48,20,1530,57,3,1,2.0,6
189900,0.33,14,1756,54,4,0,2.0,8
435000,1.0,25,4211,57,5,2,3.5,12
120000,2.6,10,2206,57,3,1,2.5,7
163000,0.15,64,1092,36,2,0,1.0,6
131000,2.8,114,1594,36,7,0,1.0,10
126500,0.08,15,1480,54,3,1,2.5,8
122500,0.14,15,1480,54,3,1,1.5,4
425000,0.46,88,3003,57,4,1,3.5,12
225000,0.63,54,2164,57,2,0,1.5,7
209000,3.8,19,1519,57,2,0,1.0,3
189100,0.46,15,1604,57,3,1,2.5,4
285000,0.98,25,1400,57,3,1,2.0,5
266600,1.0,12,1752,57,4,0,1.0,7
80000,1.0,32,880,57,2,0,1.5,6
225000,6.07,14,1240,57,3,0,2.0,5
159000,0.03,17,1514,36,3,1,1.5,8
119900,0.18,2,840,36,1,0,1.0,6
130900,0.11,1,840,36,2,0,1.0,3
194670,0.28,124,2592,36,4,0,1.5,12
72000,0.18,121,1010,36,3,0,1.0,7
144700,0.16,2,1380,36,3,0,1.5,6
139500,0.15,3,1366,36,3,0,1.5,8
319000,0.5,5,1681,57,3,1,2.5,4
348000,3.68,14,2037,36,3,1,2.0,9
189900,0.98,16,2570,36,3,0,1.5,10
20000,0.52,59,936,20,2,0,1.0,4
60000,0.01,13,960,41,2,0,1.5,7
179500,0.91,11,1352,30,3,1,1.5,5
133300,0.34,118,1060,41,4,0,1.0,8
153000,2.06,6,1508,30,3,0,2.0,5
111900,0.35,54,1272,60,4,1,1.5,9
187000,0.47,18,2389,27,6,0,3.0,11
158500,0.7,17,1210,60,2,1,1.0,4
153000,0.39,52,1230,60,3,1,1.0,6
190000,0.52,47,1832,60,4,1,2.0,8
242000,1.27,27,1854,60,3,1,1.5,8
234500,2.0,164,2268,60,3,0,2.5,10
225000,0.68,29,1807,60,3,1,1.5,8
165000,0.38,48,1272,60,4,1,1.5,5
129900,0.28,12,1560,47,3,1,1.0,8
315000,0.07,15,1863,47,3,1,3.5,7
129900,0.24,64,1120,47,2,0,1.0,3
257000,0.26,15,1832,47,2,1,2.5,8
324000,3.64,0,2092,47,4,1,2.5,8
520000,0.41,13,2702,47,3,1,2.5,11
150414,0.46,32,1040,47,3,1,1.5,5
290000,0.15,13,1758,47,2,1,2.5,6
112000,0.16,116,2326,27,3,0,2.0,7
185000,1.0,13,2340,27,3,0,1.5,8
295000,2.61,1,2058,27,3,1,2.5,9
290000,1.0,33,944,27,1,1,1.0,4
79900,0.19,44,640,20,2,0,1.0,6
256000,0.83,6,2353,60,4,1,2.5,8
245000,1.0,7,2038,54,4,1,2.5,7
140000,0.42,32,1469,60,4,0,1.5,9
272000,0.87,10,2219,63,3,1,2.0,10
164000,0.68,16,1774,54,4,0,2.0,7
182500,0.38,51,1296,60,4,1,2.0,9
219900,1.1,124,2289,60,4,1,1.5,9
325000,0.8,134,2463,60,5,2,2.5,12
352000,0.95,2,3126,54,4,0,2.5,12
315000,4.1,15,2550,54,3,0,2.5,7
154000,0.34,49,1182,60,2,0,1.0,6
199000,0.09,48,1890,60,4,1,2.0,7
202000,1.0,12,1944,36,3,1,2.5,7
292000,0.57,6,2815,57,4,1,2.5,10
116600,1.0,11,1040,57,3,1,2.0,7
155000,0.48,25,1638,57,4,0,2.0,5
215000,0.14,13,2206,57,4,1,2.5,9
373490,0.19,0,3170,57,4,1,3.5,12
259142,0.5,0,2328,57,4,1,2.5,10
293565,0.35,0,2737,57,4,1,3.0,8
285558,0.21,0,2879,54,4,0,3.0,8
273960,3.47,1,2158,54,3,1,2.0,10
185000,0.55,11,1336,57,3,1,2.0,7
190000,0.53,4,1594,54,3,0,2.5,6
171000,0.54,11,1603,57,3,0,1.5,4
208000,0.54,11,2190,57,4,0,2.5,11
168000,0.32,10,1478,54,3,1,2.5,5
165000,0.25,10,1348,54,2,0,2.0,7
138500,0.32,36,1558,54,3,1,1.0,6
179900,0.5,13,1574,54,3,1,1.5,7
180000,0.04,13,1612,54,4,0,2.0,7
112000,0.21,129,1216,54,3,0,1.0,7
152000,0.17,124,2256,54,4,0,1.5,8
100000,0.51,28,1170,54,3,1,1.5,4
154000,0.17,29,1456,57,3,0,2.0,6
133000,0.11,29,1320,57,3,0,3.0,5
285000,0.14,14,2076,57,4,1,2.5,10
138000,1.0,22,1326,57,3,0,2.0,5
303000,0.18,20,2240,57,4,1,2.5,10
250000,1.29,19,2100,57,4,1,3.0,7
167500,1.0,27,1129,38,2,0,1.0,7
190000,0.6,19,2296,57,4,1,2.5,7
182500,0.46,20,1475,57,3,1,2.0,8
107000,1.03,20,1268,57,3,1,1.0,6
195000,0.47,15,1816,57,3,1,2.0,7
169000,0.5,30,1632,57,4,1,2.5,8
156000,0.26,11,1254,54,2,0,1.5,5
120000,0.49,30,1272,57,3,0,1.0,4
170000,0.28,29,1604,57,4,0,1.5,6
249835,0.52,0,2474,57,4,1,2.5,11
188095,0.15,0,2057,57,3,1,2.5,9
176450,0.05,6,1852,57,3,0,2.5,8
322277,0.09,1,2242,57,3,0,3.0,8
149000,0.49,32,1564,57,4,1,1.5,9
95000,0.19,24,960,57,3,0,1.0,6
198500,0.1,63,1680,57,2,0,2.5,7
185000,0.03,3,1428,57,2,1,2.5,6
168900,0.16,0,1672,57,3,0,2.5,7
220000,0.28,29,2284,57,3,1,1.5,6
129900,0.32,31,1286,57,3,1,1.0,4
167000,0.23,53,1250,57,3,0,1.0,4
330000,0.12,113,1896,57,4,0,1.5,8
336000,0.15,1,2592,57,3,0,3.0,10
512971,0.01,0,1904,57,2,1,2.0,8
229000,0.29,3,1680,57,3,0,2.0,6
145000,0.16,38,1152,57,2,1,1.0,7
103000,0.07,16,1290,57,3,1,1.5,5
210000,0.17,93,2396,57,4,1,1.5,11
559000,0.24,55,3090,57,4,2,4.0,12
218000,0.21,142,1428,57,3,0,1.0,8
262138,0.15,0,1631,57,3,1,2.5,4
125000,0.24,33,1368,57,3,0,1.0,7
130000,0.16,36,1134,57,3,0,1.0,4
157500,0.3,27,1697,57,3,1,1.5,6
193000,0.3,6,1666,57,3,1,2.5,4
275000,0.12,78,1738,57,4,1,2.5,6
240000,0.15,103,1457,57,2,0,1.5,7
200136,0.15,0,1632,57,3,1,2.5,7
395000,1.4,12,2186,57,3,0,2.5,6
366703,0.15,0,2117,57,3,1,2.5,6
103150,0.25,32,936,57,3,1,1.0,8
310000,0.17,169,3347,57,6,2,2.5,12
142900,0.36,32,1824,57,4,1,2.5,10
359770,0.16,1,2592,57,3,0,3.0,8
126000,0.68,64,1080,57,2,0,1.0,7
760000,1.22,2,3148,57,5,0,3.5,12
282500,0.25,150,2128,57,3,1,1.5,8
132000,0.06,18,1616,57,3,0,1.5,8
325000,0.23,5,3313,57,4,1,2.5,12
207000,0.48,25,2327,57,3,1,1.5,10
155000,0.24,32,1640,57,4,1,1.5,7
330000,0.12,73,1421,57,3,0,1.5,5
101760,0.15,103,1280,57,2,1,1.0,3
496000,0.34,3,3467,57,4,1,2.5,11
185000,0.11,83,1250,57,3,0,1.5,5
125000,0.25,33,1368,57,3,0,1.0,5
286000,0.13,1,1396,57,3,0,2.5,8
